#Step Temp TotEng 
   10000    939.70311   -4083.5795 
   10010    936.13971   -4083.5807 
   10020     952.9934   -4083.5825 
   10030    967.60375   -4083.5851 
   10040    961.91743   -4083.5839 
   10050    948.61936   -4083.5798 
   10060    967.27814   -4083.5818 
   10070    987.35187   -4083.5885 
   10080    950.74182   -4083.5778 
   10090    947.09876   -4083.5807 
   10100    960.93669   -4083.5855 
   10110    947.82842   -4083.5793 
   10120    963.93495   -4083.5849 
   10130    960.32526   -4083.5865 
   10140    923.26823   -4083.5769 
   10150    934.26128   -4083.5808 
   10160    960.42685   -4083.5876 
   10170    946.97172    -4083.578 
   10180    970.84217    -4083.582 
   10190    1005.6824   -4083.5894 
   10200    990.27058   -4083.5778 
   10210    1007.9742   -4083.5864 
   10220    993.23371   -4083.5868 
   10230    929.51522   -4083.5782 
   10240    916.02634   -4083.5749 
   10250    962.77652   -4083.5909 
   10260    932.54148   -4083.5791 
   10270    926.26242   -4083.5762 
   10280    972.39818   -4083.5876 
   10290    961.01951    -4083.583 
   10300    934.87365    -4083.574 
   10310    974.41649   -4083.5871 
   10320    961.91294   -4083.5879 
   10330    902.52363    -4083.569 
   10340    954.33227    -4083.587 
   10350    977.22991   -4083.5838 
   10360    970.36214   -4083.5784 
   10370    988.22721   -4083.5847 
   10380    981.04957   -4083.5808 
   10390    984.43922   -4083.5792 
   10400    1012.5083   -4083.5908 
   10410    958.28803   -4083.5823 
   10420    908.84246     -4083.57 
   10430    971.90916   -4083.5877 
   10440    978.28784   -4083.5891 
   10450    921.52084   -4083.5714 
   10460    952.75418   -4083.5857 
   10470    965.97801   -4083.5854 
   10480    938.96256   -4083.5809 
   10490    928.81056   -4083.5784 
   10500    948.65548   -4083.5835 
   10510    961.73486   -4083.5803 
   10520     979.6446   -4083.5886 
   10530    946.41608   -4083.5801 
   10540    934.40115   -4083.5791 
   10550    954.87325    -4083.586 
   10560    949.99536   -4083.5802 
   10570    953.07523   -4083.5845 
   10580    945.21967   -4083.5776 
   10590    976.90588   -4083.5828 
   10600     1002.154    -4083.587 
   10610    986.25226   -4083.5804 
   10620     996.1109    -4083.584 
   10630    993.77942   -4083.5872 
   10640    954.53378   -4083.5789 
   10650    943.66672   -4083.5806 
   10660    957.38544   -4083.5825 
   10670    966.97979   -4083.5858 
   10680    953.65147   -4083.5792 
   10690    955.44211   -4083.5881 
   10700    919.25136   -4083.5768 
