# Temperature [K]; Volume [A^3]
3.000000000000000000e+02 1.699571099396044715e+01
3.500000000000000000e+02 1.703769462487123221e+01
4.000000000000000000e+02 1.710597170336499318e+01
4.500000000000000000e+02 1.713479789121405972e+01
5.000000000000000000e+02 1.718661991794396116e+01
5.500000000000000000e+02 1.724508816309672810e+01
6.000000000000000000e+02 1.728844643659710911e+01
6.500000000000000000e+02 1.734929060556896729e+01
7.000000000000000000e+02 1.737849574293069210e+01
7.500000000000000000e+02 1.747048285537145773e+01
8.000000000000000000e+02 1.750234068492284933e+01
8.500000000000000000e+02 1.754796600092783265e+01
9.000000000000000000e+02 1.763196909919215116e+01
9.500000000000000000e+02 1.763392438431894860e+01
1.000000000000000000e+03 1.769670583194909597e+01
