# # Free energy [meV] +- error; FC gradient +- error; Structure gradient +- error; Kong-Liu effective sample size
-2.581348830697141352e+02 4.984769844497282665e-01 1.111405065606849803e+03 6.842826368988744434e+02 0.000000000000000000e+00 1.098100495973491959e-11 4.926558222214570293e+01
-2.582041943396007468e+02 4.842033988479313433e-01 7.707995657280237083e+02 6.749322707062239033e+02 0.000000000000000000e+00 1.102565253084501636e-11 4.699654084347245941e+01
-2.582525581271110013e+02 4.834669521244038259e-01 4.433563790141067216e+02 6.775602198977393300e+02 0.000000000000000000e+00 1.102368102151129218e-11 4.360226780772455868e+01
-2.582781517679533181e+02 4.902238171402782396e-01 1.949466483895920419e+02 6.878069960482991974e+02 0.000000000000000000e+00 1.095033896447487087e-11 4.009155445274847551e+01
-2.582840212004252862e+02 4.974005598999790556e-01 7.458904646254204351e+01 6.974544925385433771e+02 0.000000000000000000e+00 1.080572412645222430e-11 3.764561346780482154e+01
-2.580568722983135217e+02 3.638979220091682065e-01 1.280049083802683299e+03 6.069971457105835952e+02 0.000000000000000000e+00 1.079388048872420179e-11 4.975947012575458217e+01
-2.581097359145780956e+02 3.918982528437361945e-01 9.653345636431486128e+02 6.146902471670135810e+02 0.000000000000000000e+00 1.092802971309781497e-11 4.882034022917927985e+01
-2.581717453144216847e+02 4.298849861976850595e-01 6.237370444867583501e+02 6.258554995565514218e+02 0.000000000000000000e+00 1.112075044312911118e-11 4.702745041993510000e+01
-2.582394713093921155e+02 4.707598802686577266e-01 3.135440208822068939e+02 6.376733067046777705e+02 0.000000000000000000e+00 1.137097745887966172e-11 4.479415743534031691e+01
-2.583046586122879944e+02 4.971942320775728508e-01 1.020313507707715246e+02 6.446742537580192902e+02 0.000000000000000000e+00 1.163533337588528338e-11 4.312822635776636560e+01
-2.583135739794916503e+02 5.044750605245085229e-01 8.705568160223235736e+02 6.633372403501119834e+02 0.000000000000000000e+00 1.008328249444257620e-11 4.966353131868270765e+01
-2.583611759202541975e+02 4.792146512017070870e-01 6.263058793429005391e+02 6.553966514676521911e+02 0.000000000000000000e+00 1.004285675119578452e-11 4.845687376313516381e+01
-2.583997938879818435e+02 4.570181468771468136e-01 3.810216932752654770e+02 6.525491959710715264e+02 0.000000000000000000e+00 9.942793861809154033e-12 4.636556891733340535e+01
-2.584218500579520992e+02 4.406308937220414501e-01 1.840075731110638344e+02 6.550630249944828165e+02 0.000000000000000000e+00 9.774759658987107373e-12 4.388923019388051472e+01
-2.584266417667555515e+02 4.309148382177290793e-01 6.532044199418359653e+01 6.597112972400706212e+02 0.000000000000000000e+00 9.583033458497667412e-12 4.189022543870815696e+01
